en,de
a,
ability,Fähigkeit
able,fähig
about,über
above,über
accept,annehmen
account,Konto
across,über
act,Handlung
action,Handlung
activity,Aktivität
actually,eigentlich
add,hinzufügen
address,Adresse
administration,Verwaltung
admit,zugeben
adult,Erwachsener
affect,beeinflussen
after,nach
again,erneut
against,gegen
age,Alter
agency,Agentur
agent,Agent
ago,vor
agree,zustimmen
agreement,Vereinbarung
ahead,
air,Luft
all,all
allow,erlauben
almost,fast
alone,allein
along,weiter
already,bereits
also,auch
although,obwohl
always,immer
American,
among,unter
amount,Anzahl
analysis,Analyse
and,und
animal,Tier
another,
answer,Antwort
any,irgendein
anyone,jemand
anything,irgendetwas
appear,erscheinen
apply,anwenden
approach,sich nähern
area,Oberfläche
argue,diskutieren
arm,Arm
around,um
arrive,gelangen
art,Kunst
article,Artikel
artist,Künstler
as,so ... wie
ask,fragen
assume,annehmen
at,an
attack,Attacke
attention,Aufmerksamkeit
attorney,Rechtsanwalt
audience,Publikum
author,Autor
authority,Autorität
available,verfügbar
avoid,vermeiden
away,fort
baby,Baby
back,Rücken
bad,schlecht
bag,Beutel
ball,Ball
bank,Bank
bar,Bar
base,Basis
be,sein
beat,schlagen
beautiful,schön
because,weil
become,werden
bed,Bett
before,vor
begin,anfangen
behavior,Verhalten
behind,hinter
believe,glauben
benefit,Vorteil
best,beste
better,besser
between,zwischen
beyond,
big,groß
bill,Schnabel
billion,Milliarde
bit,Gebiss
black,schwarz
blood,Blut
blue,Blau
board,Brett
body,Körper
book,Buch
born,geboren
both,beide
box,Kasten
boy,Junge
break,brechen
bring,bringen
brother,Bruder
budget,Budget
build,bauen
building,Gebäude
business,Geschäft
but,aber
buy,kaufen
by,bei
call,rufen
camera,Fotoapparat
campaign,Einsatz
can,können
cancer,Krebs
candidate,Kandidat
capital,Kapital
car,Auto
card,Karte
care,Sorge
career,Karriere
carry,tragen
case,Fall
catch,fangen
cause,Ursache
cell,Zelle
center,Zentrum
central,zentral
century,Jahrhundert
certain,gewiss
certainly,sicherlich
chair,Stuhl
challenge,Herausforderung
chance,Gelegenheit
change,Änderung
character,Buchstabe
charge,Ladung
check,Kontrolle
child,Kind
choice,Wahl
choose,wählen
church,Kirche
citizen,Staatsbürger
city,Stadt
civil,zivil
claim,Anspruch
class,Klasse
clear,klar
clearly,klar
close,schließen
coach,Trainer
cold,kalt
collection,Sammlung
college,
color,Farbe
come,kommen
commercial,kommerziell
common,gewöhnlich
community,Gemeinschaft
company,Gesellschaft
compare,vergleichen
computer,Computer
concern,Sorge
condition,Verfassung
conference,Konferenz
consider,überlegen
consumer,Konsument
contain,enthalten
continue,fortsetzen
control,steuern
cost,Kosten
country,Land
couple,Paar
course,Kurs
court,Gericht
cover,decken
create,schaffen
crime,Straftat
cultural,kulturell
culture,Kultur
cup,Tasse
current,Strom
customer,Kunde
cut,einschneiden
dark,dunkel
data,Daten
daughter,Tochter
day,Tag
dead,tot
deal,Pakt
death,Tod
debate,Debatte
decade,Jahrzehnt
decide,entscheiden
decision,Entscheidung
deep,tief
defense,Verteidigung
degree,Grad
democratic,demokratisch
describe,beschreiben
design,Design
despite,trotz
detail,Detail
determine,bestimmen
develop,entwickeln
development,Entwicklung
die,sterben
difference,Unterschied
different,verschieden
difficult,schwer
dinner,
direction,Richtung
director,
discover,entdecken
discuss,diskutieren
discussion,Diskussion
disease,Krankheit
do,tun
doctor,Doktor
dog,Hund
door,Tür
down,runter
draw,zeichnen
dream,Traum
drive,fahren
drop,Tropfen
drug,Droge
during,während
each,alle
early,früh
east,Osten
easy,leicht
eat,essen
economic,ökonomisch
economy,Wirtschaft
edge,Rand
education,Ausbildung
effect,Auswirkung
effort,Anstrengung
eight,acht
either,entweder
election,Wahl
else,sonst
employee,Arbeitnehmer
end,Ende
energy,Energie
enjoy,genießen
enough,genug
enter,
entire,ganz
environment,Umgebung
especially,besonders
establish,eröffnen
even,sogar
evening,Abend
event,Ereignis
ever,immer
every,jeder
everybody,alle
everyone,alle
everything,alles
evidence,Beweis
exactly,genau
example,Beispiel
executive,
exist,bestehen
expect,erwarten
experience,Erlebnis
expert,Experte
explain,erklären
eye,Auge
face,Gesicht
fact,Tatsache
factor,Faktor
fail,scheitern
fall,fallen
family,Familie
far,fern
fast,schnell
father,Vater
fear,Angst
federal,Bundes-
feel,fühlen
feeling,Gefühl
few,wenig
field,Feld
fight,kämpfen
figure,Figur
fill,füllen
film,Film
final,Finale
finally,endlich
financial,finanziell
find,finden
fine,Bußgeld
finger,Finger
finish,beenden
fire,Feuer
firm,befestigt
first,erster
fish,Fisch
five,fünf
floor,Boden
fly,Fliege
focus,Brennpunkt
follow,folgen
food,Nahrung
foot,Fuß
for,da
force,Kraft
foreign,ausländisch
forget,verlernen
form,Formular
former,ehemalig
forward,vorwärts
four,vier
free,frei
friend,Freund
from,von
front,
full,voll
fund,Kapital
future,Zukunft
game,Spiel
garden,Garten
gas,Gas
general,General
generation,Generation
get,besorgen
girl,Mädchen
give,geben
glass,Glas
go,gehen
goal,Ziel
good,gut
government,Regierung
great,groß
green,grün
ground,Erde
group,Gruppe
grow,wachsen
growth,Wachstum
guess,schätzen
gun,Pistole
guy,Typ
hair,Haar
half,Hälfte
hand,Hand
hang,hängen
happen,geschehen
happy,zufrieden
hard,hart
have,haben
he,er
head,Kopf
health,Gesundheit
hear,hören
heart,Herz
heat,Hitze
heavy,schwer
help,helfen
her,ihr
here,Hier
herself,sich
high,hoch
him,ihn
himself,sich
his,sein
history,Geschichte
hit,schlagen
hold,halten
home,Heim
hope,Hoffnung
hospital,Krankenhaus
hot,heiß
hotel,Hotel
hour,Stunde
house,Haus
how,wie
however,jedoch
huge,riesig
human,menschlich
hundred,hundert
husband,Ehemann
I,ich
idea,Idee
identify,identifizieren
if,wenn
image,Bild
imagine,
impact,Auswirkung
important,wichtig
improve,verbessern
in,in
include,einschließen
including,einschließlich
increase,vergrößern
indeed,in der Tat
indicate,anzeigen
individual,Individuum
industry,Industrie
information,Information
inside,innen
instead,stattdessen
institution,Institution
interest,Zinsen
interesting,interessant
international,international
interview,Interview
into,in
involve,
issue,Kernpunkt
it,er
item,Ding
its,sein
itself,von selbst
job,Arbeit
join,verknüpfen
just,gerade
keep,behalten
key,Schlüssel
kid,Kind
kill,töten
