en,de,eu,ro,it,fr,hu,et,fi
a,ein,a,A,un,une,egy,,
ability,Fähigkeit,gaitasuna,abilitate,capacità,aptitude,képesség,võime,kyky
able,fähig,ahal,in stare,capace,capable,képes,võimeline,pystyä
about,Über,buruz,despre,di,sur,ról ről,umbes,noin
above,über,goian,de mai sus,sopra,au dessus de,felett,üle,edellä
accept,akzeptieren,onartu,Accept,accettare,Acceptez,elfogad,aktsepteerima,hyväksyä
according,gemäß,arabera,potrivit,secondo,selon,szerint,vastavalt,mukaan
account,Konto,kontu,cont,account,Compte,számla,konto,tili
across,über,zehar,peste,attraverso,à travers,át,üle,poikki
act,Handlung,egintza,act,atto,acte,törvény,tegu,toimia
action,Aktion,ekintza,acțiune,azione,action,akció,tegevus,toiminta
activity,Aktivität,jarduera,activitate,attività,activité,tevékenység,tegevus,aktiviteetti
actually,tatsächlich,benetan,de fapt,in realtà,réellement,tulajdonképpen,tegelikult,itse asiassa
add,hinzufügen,gehitu,adăuga,Inserisci,ajouter,hozzáad,lisama,lisätä
address,Adresse,helbidea,adresa,indirizzo,adresse,cím,aadress,osoite
administration,Verwaltung,administrazioa,administrare,amministrazione,administration,adminisztráció,haldus,antaminen
admit,eingestehen,aitortu,admite,ammettere,admettre,beismerni,tunnistama,myöntää
adult,Erwachsene,helduen,adult,adulto,adulte,felnőtt,täiskasvanud,aikuinen
affect,beeinflussen,eraginik,a afecta,influenzare,affecter,érint,mõjutama,vaikuttaa
after,nach dem,ondoren,după,dopo,après,után,pärast,jälkeen
again,nochmal,berriro,din nou,ancora,encore,újra,uuesti,uudelleen
against,gegen,aurka,împotriva,contro,contre,ellen,vastu,vastaan
age,Alter,adina,vârstă,età,âge,kor,vanus,ikä
agency,Agentur,agentzia,agenţie,agenzia,agence,ügynökség,agentuur,toimisto
agent,Agent,agentea,agent,agente,agent,ügynök,agent,agentti
ago,vor,duela,în urmă,fa,depuis,ezelőtt,tagasi,sitten
agree,zustimmen,ados,de acord,essere d'accordo,se mettre d'accord,egyetért,nõustuma,olla samaa mieltä
agreement,Zustimmung,hitzarmen,acord,accordo,accord,megegyezés,kokkulepe,sopimus
ahead,voraus,aurrera,înainte,avanti,devant,előre,ees,eteenpäin
air,Luft,aire,aer,aria,air,levegő,õhk,ilma
all,alles,guztiak,toate,tutti,tout,minden,kõik,kaikki
allow,ermöglichen,baimendu,permite,permettere,permettre,lehetővé teszi,lubama,sallia
almost,fast,ia,aproape,quasi,presque,majdnem,peaaegu,melkein
alone,allein,bakarrik,singur,solo,seul,egyedül,üksi,yksin
along,eine lange,batera,de-a lungul,lungo,le long de,mentén,piki,pitkin
already,bereits,jadanik,deja,già,déjà,már,juba,jo
also,ebenfalls,halaber,de asemenea,anche,également,is,ka,myös
although,obwohl,arren,cu toate ca,sebbene,bien que,habár,kuigi,siitä huolimatta
always,immer,beti,mereu,sempre,toujours,mindig,alati,aina
American,amerikanisch,American,american,americano,américain,Amerikai,ameerika,amerikkalainen
among,unter,artean,printre,tra,parmi,között,seas,keskuudessa
amount,Menge,Zenbateko,Cantitate,quantità,montant,összeg,summa,määrä
